Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags
e4717b0a-aa43-11ee-8c7d-0a58a9feac02,20240108T050000,20241231T230000,20240402T182741,PERTURBATION,PERTURBEE,SANTENY - Centre Ville,"<p>En raison des travaux du centre ville sur la commune de Santeny, du lundi 8 janvier au mardi 31 décembre 2024, une déviation est mise en place en direction de Créteil Préfecture, les arrêts :&nbsp;<br>- Graviers, Le Marais, Village et Eglise ne sont pas desservis. Veuillez-vous reporter aux arrêts RN Santeny et Centre Commercial ou aux arrêts provisoires Rue de la Libération, au niveau du 4 et face à la Poste.<br><br>Merci de votre compréhension.<br>FI_2024_200</p>",
437101be-ab04-11ee-8c7d-0a58a9feac02,20240104T142000,20250331T235900,20240404T172455,PERTURBATION,PERTURBEE,"⚠️Déviation - Lignes 302, 303, 304, 312, 405- Du 1er Janvier 2024 au 31 Mars 2025","<p>⚠️Déviation - Lignes 302, 303, 304, 312, 405- Du 1er Janvier 2024 au 31 Mars 2025</p><p>En raison l’installation du marché de Corbeil-Essonnes sur l’allée Aristide Briand, vos lignes sont déviées en direction de RN7</p><p><strong>❌Les arrêts Félicien Rops, MJC, Parc Chantemerle et Centre Commercial ne seront pas desservis</strong></p><p><strong>✅Report aux arrêts MJC, Médiathèque, Palais des Sports et Chantemerle</strong></p><p>Veuillez nous excuser de la gêne occasionnée</p>",Actualité
f56e8bc8-b065-11ee-89ca-0a58a9feac02,20240111T103000,20241231T235900,20240531T185413,PERTURBATION,PERTURBEE,"⚠️Déviation - Lignes 403, 453 - Jusqu'au 31 décembre 2024","<p>⚠️Déviation - Lignes 403, 453 - Jusqu'au 31 décembre 2024</p><p>En raison de travaux Tzen 4 à Evry-Courcouronnes, vos lignes sont déviées dans les deux sens de circulation</p><p>&nbsp;</p><p><strong>❌Les arrêts Les Estudines, Monseigneur Romero, Gare d'Evry Courcouronnes centre, Agora, Les Miroirs, Jacques Prévert et Nouveaux Champs ne seront pas desservis</strong></p><p><strong>✅Report aux arrêts Paul Delouvrier, Champs-Elysées, Europe et Pyramides</strong></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p><p>Veuillez nous excuser de la gêne occasionnée</p>",Actualité
7f5a8d94-b54a-11ee-8c7d-0a58a9feac02,20240122T180000,20240715T000000,20240404T171835,PERTURBATION,PERTURBEE,Terres d'Envol - Ligne 15 - Perturbation,"<p>⚠️ En raison d’une problématique d’accès, l’arrêt Saint-Paul ne sera pas desservi :&nbsp;<br>📆 Du lundi 22 janvier au dimanche 14 juillet, de 18h jusqu’à la fin de service.<br>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p>",
4d6f9604-b913-11ee-a6d1-0a58a9feac02,20240115T030000,20250115T230000,20240402T183104,PERTURBATION,PERTURBEE,Travaux Septeuil - Lignes 2 et 60,"<p>En raison de travaux rue Contaminé à Septeuil, l’arrêt Mairie à Septeuil ne pourra être utilisé pour la ligne Express 60 uniquement dans le sens vers Rambouillet et pour la ligne 2 uniquement dans le sens vers Courgent – Damartin pendant toute la durée des travaux :<br>Du 15 janvier 2024 au 15 janvier 2025 inclus<br>Merci d’utiliser l’arrêt provisoire situé devant la Clinique Vétérinaire rue de Houdan à Septeuil.</p>",
b11b8f3a-b93d-11ee-958a-0a58a9feac02,20240122T164000,20240705T235900,20240404T152101,PERTURBATION,PERTURBEE,"⚠️Prolongation - Lignes 1, B, C, F, P et S2 - Du 08 Janvier au 05 Juillet 2024","<p>⚠️Prolongation - Lignes 1, B, C, F, P et S2 - Du 08 Janvier au 05 Juillet 2024</p><p>En raison de travaux rue de la Tour, sur la commune de Montesson les lignes sont déviées</p><p><strong>❌L'arrêt la Tour ne sera pas desservi en direction de Gare de Sartrouville</strong></p><p><strong>L'arrêt la Tour, Berges de Montesson et Gare du Vésinet le Pecq</strong></p><p><strong>✅Report arrêt 12 rue de la Tour</strong></p><p>Veuillez nous excuser de la gêne occasionnée&nbsp;</p>",Actualité
5e86d3ec-b9fb-11ee-bb4e-0a58a9feac02,20240123T142000,20240705T235900,20240404T152140,PERTURBATION,PERTURBEE,⚠️Prolongation - Du 29 Août 2023 au 5 Juillet 2024,"<p>⚠️Prolongation - Du 29 Août 2023 au 5 Juillet 2024</p><p>En raison d'un déplacement d'arrêt du Docteur Roux, l'arrêt est déplacé au niveau du 60 rue du Lieutenant Richard.</p><p>❌<strong>Arrêt Place du Docteur Roux non desservi</strong></p><p>✅<strong>Report de l'arrêt Place du Docteur Roux au niveau du 60 Rue du Lieutenant Ricard pour la ligne A direction Gare de Houilles, Ligne S3 direction Paul Bert, ligne 12 direction Madeleine Danielou et ligne T report au niveau du rond-point.</strong></p><p>Veuillez nous excuser de la gêne occasionnée&nbsp;</p>",Actualité
7d66d6f0-ba9a-11ee-94b9-0a58a9feac02,20240124T101000,20240707T235900,20240404T172317,PERTURBATION,PERTURBEE,⚠️Déviation - Ligne DM7S - Du 08 Janvier 2024 au 07 Juillet 2024,"<p>⚠️Déviation - Ligne DM7S - Du 08 Janvier 2024 au 07 Juillet 2024</p><p>En raison de travaux au croisement des rues de Champagne et des Palombes à Savigny sur Orge, la ligne DM7S est déviée dans les deux sens de circulation.</p><p><strong>❌Les arrêts Champagne et Longjumeau ne seront pas desservis</strong></p><p><strong>✅Report aux arrêts Les Peupliers et les Bleuets (arrêt RATP de la ligne 292)</strong></p><p>Veuillez nous excuser de la gêne occasionnée</p><p><a href=""https://cutt.ly/wwNNm9b3"">https://cutt.ly/wwNNm9b3</a></p>",Actualité
824f888c-bb68-11ee-9d9d-0a58a9feac02,20240125T110000,20240712T235000,20240402T182819,PERTURBATION,PERTURBEE,CRETEIL - Avenue de la France Libre,"<p>En raison des travaux Avenue de la France Libre sur la commune de Créteil, du lundi 29 janvier au vendredi 12 juillet 2024, une déviation est mise en place en direction de Villeneuve, l'arrêt :<br>- Centre Commercial ne sera pas desservi. Veuillez-vous reporter à l'arrêt Métro Préfecture (de la RATP sur la D1).<br>Merci de votre compréhension.<br>FI_2024_213</p>",
8c5989f6-bbde-11ee-94b9-0a58a9feac02,20240129T043000,20240705T230000,20240404T171459,PERTURBATION,PERTURBEE,FONTENAISIEN - Travaux - Jean Monnet,"<p>&nbsp;</p><p><br>&nbsp;</p><p><br>&nbsp;</p><p style=""text-align:center;""><strong>Du 29 janvier au 5 juillet 2024,</strong></p><p><br>&nbsp;</p><p>En raison de travaux, les arrêts <span style=""color:rgb(255,0,0);""><strong>""Jean Monnet""</strong></span>, <span style=""color:rgb(255,0,0);""><strong>""Square de Wiesloch</strong>""</span> et ""<strong>Stade du Panorama""</strong> ne seront pas desservis.</p><p><br>&nbsp;</p><p>Nous vous invitons à vous reporter à l'arrêt RATP ""Centre bus"".</p><p><br>&nbsp;</p><p>Veuillez nous excuser pour la gène occasionnée.</p><p><br>&nbsp;</p><p><a href=""https://www.transdev-idf.com/horaire-ligne-font-vsgp_520"">En savoir plus sur cette information.</a></p><p>&nbsp;</p>",
