Title,count
Bus 545 : Travaux - Arrêt(s) non desservi(s),1
Bus 201 : Manifestation - Arrêt(s) non desservi(s),2
L'itinéraire de la ligne 34 évolue,1
Manifestation Sainte-Geneviève-des-Bois,1
Bus N01 : Travaux - Arrêt(s) non desservi(s),2
Bus 127 : Mesures de sécurité - Arrêt(s) non desservi(s),63
Travaux Septeuil - Lignes 2 et 60,1
Ligne 61 - Travaux Maurepas,1
Ligne E : Haussmann - Chelles-G. du 17/06 au 19/07,24
⚠️🚍#InfoTrafic - Ligne 34B - Du 03 juin 2024 au 30 mai 2025,1
L6202_Tx Chantiers_du 27/5 au 3/6/2024,1
Ligne N : Paris Montp. - Dreux du 01 au 05/07,4
Bus 138 : Manifestation - Arrêt(s) non desservi(s),2
"Déviation des lignes 410, 510, 510P et DM22 suite à des travaux sur Grigny à compter du 18 mars 2024 et jusqu'à fin des travaux",1
La ligne Express 91.05 change à partir du 3 juin 2024,1
Informations - Ligne 46 - ITL,1
Bus 88 : Travaux - Arrêt(s) non desservi(s),8
Plan de Transport Adapté: Express 50,1
Bus 31 : Travaux - Arrêt(s) non desservi(s),2
Bus 39 : Travaux - Arrêt(s) non desservi(s),1
Tramway T3B : Jeux de Paris 2024 - Arrêt non desservi,2
Métro 12 : Jeux de Paris 2024 - Arrêt non desservi,1
CRETEIL - Avenue de la France Libre,1
Terres d'Envol - Ligne 1 - Travaux,1
Bus 399 : Travaux - Arrêt(s) non desservi(s),3
Pont Neuf : Jeux de Paris 2024 - Station fermée (sans correspondances),1
Ligne H : Paris Nord - Pontoise du 08 au 09/06,2
Bus 91 : Travaux - Arrêt(s) non desservi(s),1
Perturbation 38.01 le 02/06/2024 de 8h à 18h,1
Bus NAVETTE : Travaux - Arrêt(s) non desservi(s),1
Bus 189 : Manifestation - Arrêt(s) non desservi(s),2
Bus 54 : Travaux - Arrêt(s) non desservi(s),1
⚠️🚍Déviation - Lignes 301 et 303 - Du 23 avril 2024 jusqu’à la fin des travaux,1
"⚠️Travaux - Lignes 11, 21, 22, 26, 33, 60, 61, 62 et TàD - Du 21 Mai 2024 jusqu' à la fin des travaux",1
Bus 255 : Manifestation - Arrêt(s) non desservi(s),11
Ligne E : Haussmann - Villiers du 13/05 au 14/06,25
Ligne U : La Défense - La Verrière du 01 au 19/07,14
Travaux Les Clayes-sous-Bois - Ligne 023,1
