word,count
-,2988
:,2516
Ligne,1680
au,1619
Paris,1290
du,1011
non,674
Bus,657
desservi(s),650
Arrêt(s),650
05/07,549
RER,490
D,483
Travaux,478
2024,329
de,306
P,287
Nord,283
interruption,275
Est,252
J,246
E,243
et,240
Haussmann,231
Du,216
12/07,211
H,207
02/05,188
Interruption,180
16,167
R,164
Juillet,155
8,150
9,150
Montereau,148
26/01-5/07,145
C,145
"",144
entre,142
⚠️Prolongation,142
mercredi,142
07h00,140
-Ligne,140
Lyon,140
Villeneuve,140
10h00,140
26/02,140
2022,140
Février,140
Mardi,140
03/05,138
Creil,138
juin,138
Les,137
3,135
Mureaux,134
19/07,121
Melun/Corbeil,118
03/05-05/07,118
03/06,118
la,113
Meaux,97
Persan,96
13/05,96
Manifestation,93
Bondy,91
T4,91
Aulnay,90
14/09,90
"8/06,",90
8/07,90
3/06,88
14/06,85
Mantes,80
sur,78
21/06,78
mai,76
publique,74
L,74
à,74
voie,74
Jeux,72
21/05,72
Villiers,70
sécurité,67
Mesures,67
Incident,66
N,66
Pontoise,65
16/04,64
15/04,64
23/07,63
127,63
235,63
La,62
Coulommiers,62
17/06,58
Château-Thierry,56
Chelles-G.,54
20,52
St-Cloud,50
Luzarches,49
Lignes,49
Pont,46
Montp.,46
Provins,46
28/06/24,45
/,44
07/06,44
Melun,43
Station,41
⚠️🚍Déviation,40
interrompu,40
13,40
Malesherbes,39
Métro,39
des,38
14,38
Tournan,36
Villiers/Tournan,36
01,35
Corbeil,35
06/05,35
07/05,34
Juvisy,34
Issou,33
20/06,33
Gr.,33
Plaisir,33
le,33
Trafic,31
7/07,31
6/05,30
24/06,30
BFM,30
Choisy,30
directs,30
Trains,30
WE,29
U,29
Verrière,29
Austerlitz-Juvisy,29
12,29
travaux,28
Argenteuil,28
C:Austerlitz,27
A.Henri-Martin-Pontoise,27
Rungis,27
06/06,27
Ermont,26
2/05,26
10,26
31/05,26
Austerlitz-Dourdan/Étampes,26
06/07,25
Javel,25
St-Nom-la-Bret.,25
–,25
04/06,25
11/05,24
1er,24
St-Nom,24
17/06-19/07,24
Chelles,23
arrêts,23
en,22
146,22
09h00,22
Boulogne,22
Michel-Ange,22
6172_6181,22
16h00,22
21,22
correspondances),21
fermée,21
(sans,21
148,21
Sartrouville,20
24/06-05/07,20
"fermée,",20
⚠️Déviation,20
correspondances,20
Maisons,20
Laff.,20
impossibles,20
64,19
N:,19
supprimés,19
Dreux,19
2,19
7/06,19
07,18
fin,18
Rambouillet,18
Ferté-Milon,18
St-Quentin,16
28/06,16
27/08,16
16/06,16
A,16
27/06,16
Y.,16
Conflans,15
Préparation,15
6,15
Défense-La,15
Arrêt,15
15,14
desservi,14
17,14
26,14
16/08,14
Chelles-Gournay,14
Défense,14
2/06,14
Mantes-la-J,14
Ste,13
J:,13
Honorine,13
Paris-Conflans,13
Gare,12
-16/06,12
207,12
Déviation,12
Jean,12
255,12
via,12
30,11
Auteuil,11
206,11
27,11
Saint-Cloud,11
avril,11
1,11
rue,11
Exelmans,11
Jaurès,11
Cergy,11
Ville,11
Molitor,11
RESEAU,10
d'Envol,10
14/05,10
SENART,10
31,10
Château-Thierry-,10
5/07,10
13/06,10
03,10
02,10
Terres,10
Perturbation,10
Poissy,10
Accident,10
jusqu’à,10
ligne,10
29,9
Avril,9
les,9
/Poissy,9
JUIN,9
05,9
Piétonisation,9
St-L.,9
25,9
144,9
Nanterre,9
voirie,9
Combs,9
Juin,9
24/06-5/07,9
"07/06,",8
29/06,8
25/05-16/06,8
Vers,8
dimanche,8
8/06,8
N16,8
19,8
-27/06,8
38,8
arrêt,8
Mai,8
Tramway,8
88,8
jusqu'à,8
N34,8
Château,8
25/05,8
125,7
124,7
Le,7
17-20,7
24-28/06/24,7
164,7
mars,7
2025,7
02/06,7
LE,7
⚠️Travaux,7
lignes,7
lundi,6
272,6
DEVIATION,6
11,6
112,6
"12,13",6
Savigny,6
28,6
juin.,6
Mars,6
43,6
1er/06,6
23,6
SENART-,6
15/08,6
30/06,6
POUR,6
86,6
⚠️Perturbation,6
2023,6
173,6
soirs,6
Massy,6
Réseau,6
45,6
desservis,6
Austerlitz,5
samedi,5
Nouvel,5
22,5
"12,",5
5,5
18,5
70,5
61,5
Esbly,5
Corbeil-Ess.,5
256,5
"11,",5
08,5
303,5
juillet,5
(SGO),5
Dim,5
Express,5
269,5
29/09,5
21/07,5
Étampes/Dourdan,5
vendredi,5
13/09,5
direction,5
Chapelle,5
39,5
Crécy,5
Mantes-la-J.,5
191,5
"21/06,",5
Pommeuse,5
horaires,5
Confluence,5
Val,5
7,4
"25-26/05,",4
138,4
42,4
