Disruption ID,Begin,End,Last Update,Cause,Severity,Title,Message,Tags,LastUpdate
e3fc69f8-9b31-11ee-8c7d-0a58a9feac02,2023-12-15T11:00:00.000+01:00,2024-12-31T23:59:00.000+01:00,20240402T182723,TRAVAUX,BLOQUANTE,CCEJR SUPPRIME LIGNE 68.09,"\"<p>En raison des travaux et de l'impossibilité de faire demi-tour, l'arrêt \"\"CCEJR\"\" sur la ligne 68.09 est supprimé.</p><p>&nbsp;</p><p>Les départs et terminus se feront à l'arrêt \"\"Pont Royal\"\"</p>\"",,2024-04-02T18:27:23.000+02:00
f8fcbf4a-04ec-11ef-a614-0a58a9feac02,2024-01-19T02:42:00.000+01:00,2025-01-01T07:45:00.000+01:00,20240428T012210,TRAVAUX,BLOQUANTE,Bus N62 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne N62 est déviée : les arrêts situés entre Jardin Parisien – Hôpital Béclère et Gabriel Péri ne sont plus desservis en direction de Gare Montparnasse. Reprise estimée : mercredi 1 janvier 2025, à partir de 07h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-04-28T01:22:10.000+02:00
59c4e838-0548-11ef-bdfc-0a58a9feac02,2024-04-28T12:15:00.000+02:00,2024-12-03T03:45:00.000+01:00,20240428T121617,TRAVAUX,BLOQUANTE,Bus 125 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Avenue du Docteur Lacroix - Mairie de la ligne 125 n'est pas desservi en direction de Porte d’Orléans. Reprise estimée : mardi 3 décembre 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-04-28T12:16:17.000+02:00
7fd17752-0b57-11ef-8953-0a58a9feac02,2024-03-06T15:19:00.000+01:00,2024-12-31T16:04:00.000+01:00,20240506T051950,TRAVAUX,BLOQUANTE,Bus 390 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 390 est déviée : les arrêts situés entre Vélizy 2 et Europe Sud ne sont plus desservis en direction de Vélizy – Europe Sud. Reprise estimée : mardi 31 décembre 2024, à partir de 15h19. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-06T05:19:50.000+02:00
c6f0b636-0c90-11ef-8953-0a58a9feac02,2024-04-28T18:56:00.000+02:00,2024-08-01T03:45:00.000+02:00,20240507T184222,TRAVAUX,BLOQUANTE,Bus 325 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 325 est déviée : les arrêts situés entre Saint-Mandé - Tourelle et Caserne des Gardes ne sont plus desservis en direction de Quai de la Gare. Reprise estimée : jeudi 1 août 2024, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-07T18:42:22.000+02:00
5037c68e-0ec9-11ef-bdfc-0a58a9feac02,2024-05-10T14:27:00.000+02:00,2024-06-22T04:02:00.000+02:00,20240510T143206,TRAVAUX,BLOQUANTE,Bus 259 : Travaux - Arrêt(s) non desservi(s),"<p>L’arrêt Val André de la ligne 259 n'est pas desservi en direction de Nanterre – Papeteries. Reprise estimée : samedi 22 juin 2024, à partir de 03h17. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-10T14:32:06.000+02:00
0cfdfb72-0ef6-11ef-8953-0a58a9feac02,2024-04-29T05:00:00.000+02:00,2024-06-15T03:00:00.000+02:00,20240510T195221,TRAVAUX,BLOQUANTE,Bus 191 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 191 est déviée : les arrêts situés entre Augustin Dumont et Pont de la Vallée ne sont plus desservis en direction de Porte de Vanves. Reprise estimée : samedi 15 juin 2024, à partir de 02h15. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-10T19:52:21.000+02:00
7f484cb4-1004-11ef-bcf2-0a58a9feac02,2024-04-16T06:00:00.000+02:00,2024-10-15T06:45:00.000+02:00,20240512T040817,PERTURBATION,BLOQUANTE,Bus N41 : Piétonisation de voirie - Arrêt(s) non desservi(s),<p>La ligne N41 est déviée : les arrêts situés entre Porte de Pantin - Métro et Pantin RER - Mairie ne sont plus desservis en direction de Villeparisis – Mitry-le-Neuf <RER>. Reprise estimée : mardi 15 octobre 2024 à 06h00. Raison : piétonisation de voirie.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>,,2024-05-12T04:08:17.000+02:00
cbbb21e0-10ed-11ef-bdfc-0a58a9feac02,2024-05-13T04:30:00.000+02:00,2024-06-22T03:46:00.000+02:00,20240513T075818,TRAVAUX,BLOQUANTE,Bus 27 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 27 est déviée : les arrêts situés entre Opéra - 4 Septembre et Gare Saint-Lazare ne sont plus desservis en direction de Gare Saint-Lazare. Reprise estimée : samedi 22 juin 2024, à partir de 03h01. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-13T07:58:18.000+02:00
cc9250f6-113e-11ef-80ff-0a58a9feac02,2024-04-08T05:00:00.000+02:00,2025-01-01T03:45:00.000+01:00,20240513T173809,TRAVAUX,BLOQUANTE,Bus 388 : Travaux - Arrêt(s) non desservi(s),"<p>La ligne 388 est déviée : les arrêts situés entre Rue Froide et République - Liberté ne sont plus desservis en direction de Porte d'Orléans. Reprise estimée : mercredi 1 janvier 2025, à partir de 03h00. Raison : travaux.<br><a href='http://www.ratp.fr'>Plus d'informations sur le site ratp.fr</a></p>",,2024-05-13T17:38:09.000+02:00
